No.,Player,Apps,Mins,Total,AccLB,InAccLB,AccSP,InAccSP,Rating
620,Yahya Jabrane,2,13,2,-,-,1,1,6.00
621,Ahmed Alaa,1,5,2,-,-,-,2,5.99
622,Andreas Skov Olsen,2,134,27.5,0.5,0.5,19,7.5,5.99
623,Damian Szymanski,1,28,8,1,-,7,-,5.99
624,Sasa Lukic,3,246,53.7,3,1,44.3,5.3,5.99
625,Nemanja Radonjic,3,57,4.7,-,-,3.3,1.3,5.98
626,Haitham Asiri,1,1,2,-,-,1,1,5.98
627,Milos Veljkovic,3,223,37.3,2.3,2,30.3,2.7,5.97
628,Aaron Ramsey,3,267,35.3,4.3,1.7,24.3,5,5.97
629,Rogelio Funes Mori,1,4,-,-,-,-,-,5.97
630,Saman Ghoddos,1,45,17,-,-,14,3,5.97
631,Antoine Semenyo,2,19,1,-,-,0.5,0.5,5.97
632,Taha Yassine Khenissi,2,27,3,-,-,1,2,5.97
633,Haris Seferovic,3,68,4.3,-,-,3.3,1,5.96
634,Óscar Duarte,3,270,31.3,3.3,5,19,4,5.96
635,Alireza Jahanbakhsh,2,59,7.5,-,-,5.5,2,5.95
636,Jesús Ferreira,1,46,19,-,-,16,3,5.95
637,Liam Millar,1,9,6,-,-,3,3,5.95
638,Lucas Cavallini,1,18,1,-,-,1,-,5.95
639,Robert Skov,1,21,15,-,-,15,-,5.95
640,Sultan Al Ghannam,3,125,10.3,0.3,1.7,6.7,1.7,5.95
641,Noah Okafor,3,43,7.3,0.3,0.3,5.3,1.3,5.94
642,Christian Nørgaard,1,5,15,-,-,14,1,5.94
643,Manuel Neuer,3,270,37,5.3,3,27.7,1,5.94
644,Michel Aebischer,1,14,4,-,-,2,2,5.94
645,Rubin Colwill,1,9,4,-,2,2,-,5.94
646,Djorkaeff Reasco,1,26,2,-,-,2,-,5.93
647,Bilal El Khannouss,1,56,24,3,-,17,4,5.92
648,Joe Allen,2,94,18,-,-,15,3,5.92
649,Takefusa Kubo,2,92,5.5,-,-,3,2.5,5.92
650,Lucas Hernández,1,13,9,-,1,5,3,5.91
651,Jonathan David,3,193,19.7,1,1.3,12.7,4.7,5.90
652,Ardon Jashari,1,1,6,-,-,5,1,5.90
653,Salman Al Faraj,1,49,14,1,1,9,3,5.90
654,Jonas Hofmann,2,28,9.5,-,-,7.5,2,5.90
655,Germán Pezzella,3,57,14.7,-,0.7,14,-,5.89
656,Álvaro Zamora,1,29,5,-,-,5,-,5.89
657,Darko Lazovic,1,24,11,2,1,5,3,5.88
658,Filip Mladenovic,1,66,17,1,-,13,3,5.88
659,Milan Borjan,3,270,25,5,6,13.3,0.7,5.88
660,Dan James,3,155,10,0.3,-,7,2.7,5.87
661,Abdul Rahman Baba,3,182,22.7,0.7,1.3,15,5.7,5.86
662,Ronald Matarrita,2,24,12.5,1,1.5,7.5,2.5,5.85
663,Sami Al Naji,1,46,16,-,1,12,3,5.85
664,Charles De Ketelaere,1,16,4,-,-,3,1,5.84
665,Brennan Johnson,3,89,5,-,-,3,2,5.83
666,Renato Steffen,1,31,14,-,1,12,1,5.83
667,Almoez Ali,3,226,15,0.7,0.3,10.3,3.7,5.82
668,Woo-Yeong Jeong,1,46,13,-,-,12,1,5.81
669,Roberto Alvarado,1,17,7,-,-,4,3,5.79
670,Jason Cummings,1,34,6,1,-,3,2,5.78
671,Carlos Martínez,1,46,10,1,-,6,3,5.77
672,Jewison Bennette,3,102,4,0.3,-,3,0.7,5.77
673,Nicolas Jackson,1,17,10,-,-,9,1,5.75
674,Stefan Mitrovic,1,34,21,-,1,18,2,5.71
675,Saad Al Sheeb,1,90,16,4,2,10,-,5.70
676,Meshaal Barsham,2,180,26.5,5.5,8,12.5,0.5,5.69
677,Sadegh Moharrami,1,90,16,-,1,11,4,5.66
678,Abdulelah Al Malki,2,175,41.5,0.5,1,32.5,7.5,5.65
679,Danny Ward,2,93,18.5,6.5,7.5,4.5,-,5.56
680,Walid Cheddira,2,63,4,-,-,2,2,5.38
681,Nathaniel Atkinson,1,85,26,1,4,19,2,5.18
