No.,Player,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
279,Kamil Glik,4,360,0.5,0.8,0.5,0.8,5.5,0.3,0.3,-,6.48
280,Guillermo Ochoa,3,270,-,-,-,-,0.7,-,-,-,6.48
281,Nicolás Tagliafico,3(3),374,1.2,1.5,1,0.2,1.2,-,0.2,-,6.48
282,Ricardo Horta,1(2),117,0.7,0.3,1,-,-,-,0.3,-,6.48
283,Alidu Seidu,2,156,3,-,2.5,-,1,-,-,-,6.47
284,Anis Ben Slimane,2,150,1.5,0.5,-,-,0.5,-,-,-,6.47
285,Na Sang-Ho,1(1),120,2,-,1,-,1,-,-,-,6.47
286,Bruno Petkovic,1(5),232,1,-,0.5,-,-,0.2,0.3,-,6.47
287,Craig Goodwin,3(1),236,1,-,0.3,-,0.5,0.8,-,-,6.47
288,Osman Bukari,0(2),58,-,0.5,0.5,-,0.5,-,-,-,6.47
289,Gabriel Jesus,1(2),92,0.7,0.7,0.3,-,-,-,-,-,6.46
290,Junior Hoilett,2(1),162,2.7,0.3,0.3,-,-,0.3,-,-,6.46
291,Pedro Miguel,3,263,2,2.7,1.3,1.3,1,0.3,-,-,6.46
292,Mason Mount,2(2),186,0.5,-,1.8,-,-,-,-,-,6.46
293,Joakim Maehle,3,250,3,0.7,0.3,-,1.7,0.7,1,-,6.46
294,Milos Degenek,2(2),183,1.5,0.3,0.5,-,2,0.3,0.3,-,6.46
295,Raphaël Varane,6,521,0.2,1,0.2,1,2.5,0.3,0.5,-,6.46
296,Haji Wright,1(3),135,0.5,-,0.3,-,0.3,-,-,-,6.46
297,Nikola Milenkovic,3,270,3.3,2,2.7,-,3,0.3,1.3,-,6.46
298,Kwon Kyung-Won,1(1),91,-,1,-,0.5,2.5,-,0.5,-,6.46
299,Jordan Ayew,2(1),137,1,0.3,0.7,-,0.3,0.3,-,-,6.45
300,Piero Hincapié,3,270,2.3,0.7,1.7,1,3,0.3,-,-,6.45
301,Martin Hongla,2,123,-,1,0.5,-,1.5,-,0.5,-,6.45
302,Michy Batshuayi,2,153,0.5,-,2.5,-,-,-,-,-,6.45
303,Bernardo Silva,4(1),358,0.4,0.4,0.2,-,-,-,-,-,6.45
304,Kieffer Moore,2(1),225,0.3,0.7,1.7,-,2.3,-,0.3,-,6.45
305,Alexander Bah,0(2),46,2,1,0.5,-,-,0.5,-,-,6.45
306,Daichi Kamada,4,324,1.8,-,0.3,-,0.8,0.8,-,-,6.44
307,Moumi Ngamaleu,1(1),95,1.5,-,1.5,-,-,-,-,-,6.44
308,Callum Wilson,0(2),46,-,-,-,-,-,-,-,-,6.44
309,Ferran Torres,3(1),219,-,-,0.3,-,-,0.5,-,-,6.44
310,Mathias Jensen,1(1),84,0.5,-,1,-,-,-,-,-,6.44
311,Vitinha,1(2),118,1,0.3,0.3,0.3,0.3,0.7,-,-,6.44
312,Matthijs de Ligt,1(1),91,-,-,2,-,2,-,-,-,6.44
313,Jackson Irvine,4,355,1,0.8,1.8,0.3,2,0.5,-,-,6.43
314,Nemanja Maksimovic,1(2),120,1.3,1,-,-,0.7,0.3,-,-,6.43
315,Salis Abdul Samed,3,252,0.7,1.3,1.7,-,2.7,0.3,0.3,-,6.43
316,Yannick Carrasco,2,118,2.5,0.5,0.5,-,1.5,1,-,-,6.43
317,Rubén Vargas,4,289,-,0.3,1,-,1,-,-,-,6.43
