No.,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
344,Jakub Kiwior,4,356,-,-,1,-,0.3,84.9,0.8,-,6.38
345,Matty Cash,4,360,-,-,2,-,0.3,80.2,0.5,-,6.38
346,Papu Gómez,2,109,-,-,-,-,1,94.6,0.5,-,6.37
347,Jakub Kaminski,2(2),233,-,-,-,-,1,60,-,-,6.37
348,Weston McKennie,4,275,-,-,1,-,1.3,77.5,0.8,-,6.36
349,Ferjani Sassi,0(2),47,-,-,1,-,0.5,75.8,1,-,6.36
350,Jackson Porozo,1(1),95,-,-,-,-,0.5,90.7,0.5,-,6.36
351,Mario Pasalic,2(5),269,-,-,-,-,0.4,79.8,1.1,-,6.36
352,Saud Abdulhamid,3,270,-,-,1,-,0.3,77,1.3,-,6.35
353,Alisson,4,381,-,-,-,-,-,84,0.5,-,6.35
354,Jeremy Sarmiento,0(3),83,-,-,-,-,0.3,66.7,0.7,-,6.35
355,Lovro Majer,1(6),130,1,-,-,-,0.6,83.1,-,-,6.35
356,Paulo Dybala,0(2),17,-,-,-,-,-,66.7,1.5,-,6.35
357,Djibril Sow,4,269,-,1,-,-,0.5,87.5,0.3,-,6.35
358,Pape Sarr,0(2),58,-,-,-,-,2,89.5,0.5,-,6.35
359,Guillermo Varela,2(1),182,-,-,-,-,-,70.1,0.3,-,6.34
360,Youssouf Fofana,2(4),226,-,-,-,-,0.7,85.7,0.2,-,6.34
361,Karl Toko Ekambi,2(1),167,-,-,-,-,0.7,84,0.3,-,6.34
362,Milad Mohammadi,3,201,-,-,-,-,-,63,1,-,6.34
363,Rodrygo,1(4),180,-,1,-,-,1.2,86.1,-,-,6.34
364,Lukas Klostermann,0(2),65,-,-,-,-,-,100,-,-,6.34
365,Mario Götze,0(2),34,-,-,-,-,0.5,90.5,-,-,6.33
366,Zakaria Aboukhlal,0(4),73,1,-,-,-,0.8,50,0.5,-,6.33
367,Fabian Schär,2,136,-,-,2,-,1,79.3,2,-,6.33
368,Hattan Bahbri,0(2),3,-,1,1,-,-,57.1,0.5,-,6.33
369,Pedro,0(2),63,-,-,-,-,2,76.9,-,-,6.33
370,Takuma Asano,0(4),163,1,-,-,-,2,77.8,0.3,-,6.32
371,Riley McGree,4,269,-,1,-,-,0.8,77.1,0.3,-,6.32
372,Unai Simón,4,391,-,-,-,-,-,92.9,0.5,-,6.32
373,Fred,2(2),145,-,-,1,-,0.8,85.4,-,-,6.32
374,Abdulelah Al Amri,2(1),182,-,-,2,-,0.3,71.6,3.3,-,6.31
375,Antonio Rüdiger,3,270,-,-,-,-,2,91.2,2,-,6.31
376,Bruno Guimarães,0(2),67,-,-,1,-,2.5,84,0.5,-,6.31
377,Akram Afif,3,270,-,-,1,-,0.7,89.3,0.3,-,6.31
378,Nico Williams,1(3),146,-,-,-,-,0.3,88.9,0.3,-,6.31
379,Rúben Neves,4(1),271,-,-,1,-,0.4,92.5,0.4,-,6.30
380,Pathé Ciss,2(1),146,-,-,1,-,0.3,80.7,1.7,-,6.30
381,Steven Berghuis,1(3),200,-,1,1,-,1.3,80.2,0.3,-,6.30
382,Maximiliano Gómez,0(2),28,-,-,-,-,1,71.4,1,-,6.30
383,Wayne Hennessey,2,176,-,-,-,1,-,66.7,0.5,-,6.30
384,Abdou Diallo,4,332,-,-,-,-,0.3,77,1.8,-,6.30
385,Youri Tielemans,1(2),95,-,-,-,-,-,83.6,0.7,-,6.30
386,Alex Telles,1(1),58,-,-,-,-,-,83.3,0.5,-,6.29
387,Dylan Bronn,2,163,-,-,-,-,0.5,76.1,1,-,6.29
388,Richie Laryea,2(1),161,-,-,-,-,0.7,75.6,-,-,6.29
389,Youstin Salas,0(2),46,-,-,-,-,-,73.3,0.5,-,6.29
390,Gabriel Martinelli,1(2),111,-,-,-,-,1.3,80.6,-,-,6.29
391,Bremer,1(1),108,-,-,-,-,0.5,95.1,2.5,-,6.29
392,Facundo Pellistri,2(1),182,-,-,-,-,0.3,72.1,-,-,6.28
393,Cristiano Ronaldo,3(2),291,1,-,-,-,2.2,75.6,1.6,-,6.28
394,Tajon Buchanan,3,261,-,1,1,-,1.7,71.2,0.3,-,6.28
395,Alexander Djiku,1(1),97,-,-,-,-,-,78.6,1,-,6.28
396,Martin Braithwaite,1(1),104,-,-,-,-,0.5,70,0.5,-,6.28
397,Darwin Núñez,3,242,-,-,1,-,1,62.7,1.7,-,6.28
398,Ehsan Hajisafi,3,239,-,-,-,-,0.3,70,0.7,-,6.27
399,Joe Rodon,3,270,-,-,1,-,-,89.9,1.7,-,6.27
400,Takehiro Tomiyasu,1(2),187,-,-,-,-,-,71.9,2,-,6.27
401,Sardar Azmoun,2(1),127,-,-,-,-,1.7,62.1,1.3,-,6.27
402,Kingsley Coman,1(5),167,-,-,-,-,0.2,87.9,0.3,-,6.27
403,Daniel Carvajal,1(1),135,-,-,-,-,-,88.8,-,-,6.27
404,Krépin Diatta,3,183,-,-,-,-,1,83.8,0.7,-,6.26
405,Alejandro Balde,1(3),125,-,-,-,-,0.3,94.5,-,-,6.26
406,Amadou Onana,1(1),105,-,-,2,-,1,92.1,1,-,6.26
407,Shaq Moore,0(2),20,-,-,-,-,-,65,0.5,-,6.26
408,Ali Al Bulayhi,3,217,-,-,1,-,-,80.2,1,-,6.26
409,André Ayew,3,201,1,-,1,-,0.7,80.6,1,-,6.25
410,Jung Woo-Young,4,305,-,-,2,-,0.3,85.6,1.5,-,6.25
411,Mikkel Damsgaard,1(2),149,-,-,-,-,-,76.8,-,-,6.25
412,Uriel Antuna,0(3),75,-,-,-,-,0.7,83.3,-,-,6.25
413,Nampalys Mendy,3(1),273,-,-,1,-,0.5,89.2,-,-,6.24
414,Ali Karimi,1(2),96,-,-,-,-,-,79.1,1,-,6.24
415,Leon Goretzka,2(1),159,-,-,1,-,1.3,77.8,1,-,6.24
416,Filip Kostic,2,180,-,-,-,-,0.5,66.7,-,-,6.24
417,Vincent Janssen,1(1),86,-,-,-,-,1,80,0.5,-,6.24
418,Nikola Vlasic,1(5),208,-,-,-,-,0.8,86.3,0.3,-,6.24
419,Gaël Ondoua,0(2),45,-,-,-,-,-,89.5,0.5,-,6.24
420,Gonzalo Montiel,1(3),120,-,-,3,-,0.3,86.4,0.3,-,6.24
421,Koke,0(2),50,-,-,-,-,-,93.3,-,-,6.23
422,Matías Viña,0(2),15,-,-,-,-,-,50,-,-,6.23
423,Yuto Nagatomo,4,213,-,-,-,-,-,75.3,0.3,-,6.23
424,Cyle Larin,2(1),138,-,-,-,-,1,73.1,0.7,-,6.23
425,Ricardo Rodríguez,4,360,-,-,-,-,-,75.4,2.5,-,6.23
426,Kalvin Phillips,0(2),40,-,1,-,-,-,89.5,-,-,6.23
427,Ben Davies,3,239,-,-,-,-,1,77.6,2.3,-,6.22
428,Dries Mertens,1(1),77,-,-,-,-,1.5,71.4,-,-,6.22
429,Diogo Costa,5,450,-,-,-,-,-,66.9,-,-,6.22
430,Hwang In-Beom,4,335,-,-,-,-,1.5,80.1,0.5,-,6.22
431,Jesper Lindstrøm,2(1),200,-,-,-,-,1,73.9,0.3,-,6.22
432,Giovanni Reyna,0(2),52,-,-,-,-,1,69.7,1,-,6.22
433,Edinson Cavani,1(2),123,-,-,1,-,1,73,0.7,-,6.21
434,Eric Dier,0(2),33,-,-,-,-,-,97.6,0.5,-,6.21
435,Romelu Lukaku,0(2),54,-,-,-,-,2.5,66.7,0.5,-,6.21
436,Wajdi Kechrida,1(2),109,-,-,1,-,-,58.1,0.3,-,6.21
437,Alistair Johnston,3,270,-,-,1,-,0.7,81.8,1.3,-,6.20
438,Fabian Rieder,1(1),68,-,-,1,-,-,52,-,-,6.20
439,Ajdin Hrustic,0(3),59,-,-,-,-,0.3,84.2,-,-,6.20
440,Lautaro Martínez,2(4),240,-,-,-,-,2.3,74.6,1,-,6.20
441,Abdulrahman Al Obud,0(2),33,-,-,-,-,0.5,72.7,0.5,-,6.20
442,Tariq Lamptey,1(1),102,-,-,1,-,0.5,66.7,-,-,6.20
443,Arkadiusz Milik,1(2),100,-,-,1,-,0.3,65.5,1.3,-,6.19
444,Pape Abou Cissé,1(2),104,-,-,-,-,-,75.7,0.7,-,6.19
445,Kamal Miller,3,270,-,-,1,-,-,91.5,2.3,-,6.19
446,Samuel Oum Gouet,1(1),99,-,-,-,-,-,89.7,0.5,-,6.19
447,Bryan Oviedo,3,262,-,-,-,-,-,76.3,0.7,-,6.18
448,Remo Freuler,4,324,1,-,-,-,0.8,83.4,0.3,-,6.18
449,Kamaldeen Sulemana,0(2),57,-,-,1,-,0.5,66.7,1,-,6.17
450,Abdessamad Ezzalzouli,0(3),92,-,-,-,-,0.3,81.8,0.3,-,6.17
451,Homam Ahmed,3,263,-,-,1,-,-,71.4,1.7,-,6.17
452,Exequiel Palacios,0(3),47,-,-,-,-,0.3,92.6,-,-,6.16
453,Daniel-Kofi Kyereh,0(3),31,-,-,-,-,-,100,-,-,6.16
454,Mohammed Al Burayk,1(1),66,-,-,-,-,1,85.4,0.5,-,6.15
455,Alexis Vega,3,196,-,-,-,-,3,76,0.3,-,6.15
456,João Palhinha,0(3),35,-,-,-,-,0.3,83.9,-,-,6.15
457,Ante Budimir,0(2),55,-,-,-,-,0.5,40,1,-,6.15
458,Assim Madibo,2,154,-,-,1,-,-,82.9,0.5,-,6.15
459,Bamba Dieng,0(4),98,1,-,-,-,1,60,0.5,-,6.14
460,Karim Ansarifard,0(2),34,-,-,-,-,0.5,80,-,-,6.14
461,Brenden Aaronson,0(4),105,-,-,-,-,0.3,87,-,-,6.13
462,Hassan Al Haydos,3,209,-,-,-,-,0.3,82.7,-,-,6.13
463,Issam Jebali,2(1),184,-,-,-,-,1,74.2,0.7,-,6.13
464,João Mário,1(1),84,-,-,-,-,-,97.3,-,-,6.13
465,Kellyn Acosta,0(2),41,-,-,1,-,-,83.3,0.5,-,6.13
466,Matheus Nunes,1(1),73,-,-,-,-,0.5,93.1,-,-,6.13
467,Mohammed Waad,0(2),26,-,-,-,-,-,72.7,-,-,6.13
468,Jamie Maclaren,0(3),52,-,-,-,-,-,53.8,0.3,-,6.12
469,Abderrazzaq Hamed Allah,0(4),64,-,-,-,-,0.5,53.3,0.3,-,6.12
470,Abdelkarim Hassan,3,270,-,-,-,-,2,78.4,1,-,6.12
471,Carlos Rodríguez,0(2),32,-,-,-,-,-,75,-,-,6.12
472,Héctor Moreno,3,270,-,-,1,-,0.3,84.5,1.7,-,6.12
473,Hernán Galíndez,3,270,-,-,-,-,-,55.9,0.7,-,6.12
474,Anthony Contreras,2(1),127,-,-,1,-,-,58.3,1.7,-,6.12
475,Ansu Fati,0(2),45,-,-,-,-,-,89.3,0.5,-,6.12
476,José Cifuentes,0(2),58,-,-,-,-,0.5,77.5,-,-,6.12
477,Nicolás de la Cruz,0(2),36,-,-,-,-,0.5,87,-,-,6.12
478,Joe Morrell,0(2),32,-,-,-,-,-,85.7,-,-,6.11
479,DeAndre Yedlin,0(2),32,-,-,-,-,-,78.9,0.5,-,6.11
480,Denis Zakaria,0(2),57,-,-,-,-,0.5,87,0.5,-,6.11
481,Samuel Adekugbe,1(2),94,-,-,1,-,-,93.1,0.7,-,6.10
482,Fabian Frei,0(2),23,-,-,-,-,-,64.3,-,-,6.10
483,Luka Jovic,1(1),36,-,-,1,-,1,55.6,0.5,-,6.10
484,Steven Bergwijn,3(1),217,-,-,1,-,0.5,88.7,-,-,6.10
485,Garang Kuol,0(2),35,-,-,-,-,0.5,60,0.5,-,6.10
486,Brandon Aguilera,1(2),89,-,-,-,-,-,75,0.7,-,6.09
487,Filip Djuricic,0(2),13,-,-,-,-,-,80,1,-,6.09
488,Ismaël Koné,0(3),106,-,-,-,-,-,96,-,-,6.09
489,Hossein Kanani,1(1),46,-,-,1,-,-,70,-,-,6.09
490,Nicola Zalewski,1(1),65,-,-,-,-,-,87.5,-,-,6.09
491,Kasper Dolberg,1(2),113,-,-,-,-,1,82.4,-,-,6.08
492,Alan Franco,1(1),47,-,-,-,-,-,90.9,0.5,-,6.08
493,Édouard Mendy,4,360,-,-,-,-,-,69.5,0.8,-,6.08
494,Nemanja Gudelj,1(1),92,-,-,2,-,-,84.6,0.5,-,6.08
495,Leandro Trossard,1(2),103,-,-,-,-,-,77.8,-,-,6.07
496,Raúl Jiménez,0(3),56,-,-,-,-,-,69,1,-,6.06
497,Krzysztof Piatek,0(2),26,-,-,-,-,0.5,33.3,1,-,6.06
498,Karim Boudiaf,2(1),185,-,-,1,-,-,88.7,2,-,6.05
499,Kevin Álvarez,1(1),70,-,-,-,-,-,63.2,-,-,6.05
500,Takumi Minamino,0(3),58,-,-,-,-,0.7,68.4,-,-,6.04
501,Francisco Calvo,2,180,-,-,2,-,0.5,82.7,1,-,6.04
502,Steven Vitória,3,270,-,-,1,-,-,86,1.3,-,6.03
503,Georges-Kévin Nkoudou,0(2),25,-,-,-,-,0.5,90,-,-,6.03
504,Jonathan Osorio,1(2),119,-,-,1,-,0.3,90.9,-,-,6.03
505,Abdulaziz Hatem,2(1),196,-,-,-,-,0.3,80.9,0.3,-,6.02
506,Keanu Baccus,1(3),113,-,-,-,-,0.3,63.4,0.3,-,6.02
507,Edimilson Fernandes,1(2),143,-,-,-,-,0.3,82.8,-,-,6.02
508,Keylor Navas,3,270,-,-,-,-,-,54,-,-,6.02
509,Awer Mabil,0(2),22,-,-,-,-,-,69.2,-,-,6.02
510,Boualem Khoukhi,3,270,-,-,-,-,-,86.2,2,-,6.01
511,Hwang Ui-Jo,1(3),104,-,-,-,-,0.3,81.8,0.3,-,6.01
512,Nawaf Al Abid,0(2),85,-,-,1,-,1,89.2,-,-,6.01
513,Eray Cömert,0(2),46,-,-,1,-,-,90.5,-,-,6.00
514,Kevin Rodríguez,0(2),2,-,-,-,-,1,-,0.5,-,6.00
515,Jordan Morris,0(2),3,-,-,-,-,-,50,-,-,6.00
516,Yahya Jabrane,0(2),13,-,-,-,-,-,50,-,-,6.00
517,Andreas Skov Olsen,2,134,-,-,-,-,2,70.9,0.5,-,5.99
518,Sasa Lukic,3,246,-,-,2,-,0.3,88.2,1,-,5.99
519,Nemanja Radonjic,0(3),57,-,-,-,-,0.7,71.4,-,-,5.98
520,Milos Veljkovic,3,223,-,-,-,-,-,87.5,0.7,-,5.97
521,Aaron Ramsey,3,267,-,-,1,-,0.3,81.1,-,-,5.97
522,Antoine Semenyo,0(2),19,-,-,-,-,0.5,50,0.5,-,5.97
523,Taha Yassine Khenissi,0(2),27,-,-,1,-,0.5,33.3,0.5,-,5.97
524,Haris Seferovic,0(3),68,-,-,-,-,0.3,76.9,-,-,5.96
525,Badr Benoun,0(3),53,-,-,-,-,-,95.5,-,-,5.96
526,Óscar Duarte,3,270,-,-,1,-,-,71.3,0.7,-,5.96
527,Alireza Jahanbakhsh,1(1),59,-,-,2,-,1.5,73.3,-,-,5.95
528,Sultan Al Ghannam,1(2),125,-,-,-,-,0.7,67.7,-,-,5.95
529,Noah Okafor,0(3),43,-,-,-,-,0.3,77.3,-,-,5.94
530,Manuel Neuer,3,270,-,-,-,-,-,89.2,-,-,5.94
531,Joe Allen,1(1),94,-,-,-,-,1,83.3,-,-,5.92
532,Takefusa Kubo,2,92,-,-,-,-,-,54.5,0.5,-,5.92
533,Jonathan David,2(1),193,-,-,-,-,2.7,69.5,0.3,-,5.90
534,Jonas Hofmann,0(2),28,-,-,-,-,0.5,78.9,-,-,5.90
535,Germán Pezzella,0(3),59,-,-,1,-,0.3,95.5,-,-,5.89
536,Milan Borjan,3,270,-,-,-,-,-,73.3,-,-,5.88
537,Dan James,2(1),155,-,-,1,-,-,73.3,-,-,5.87
538,Abdul Rahman Baba,2(1),182,-,-,-,-,-,69.1,0.7,-,5.86
539,Ronald Matarrita,0(2),24,-,-,-,-,-,68,-,-,5.85
540,Brennan Johnson,0(3),89,-,-,-,-,1,60,-,-,5.83
541,Almoez Ali,3,226,-,-,1,-,1,73.3,0.7,-,5.82
542,Jewison Bennette,1(2),102,-,-,-,-,0.3,83.3,-,-,5.77
543,Meshaal Barsham,2,180,-,-,-,-,-,67.9,-,-,5.69
544,Abdulelah Al Malki,2,175,-,-,2,-,1,79.5,-,-,5.65
545,Danny Ward,1(1),93,-,-,-,-,-,59.5,-,-,5.56
546,Walid Cheddira,0(2),64,-,-,-,1,1,50,1,-,5.40

